lkd-id,version,changeNote,editorialNote (ei julkaista)
bffi:accompaniedBy,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:accompanies,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:acquisitionSource,v0.5.0,,2024-03-28: changed domain from bffi:Item to bffi:Manifestation
bffi:acquisitionTerms,v0.5.0,,2024-03-28: changed domain from bffi:Item to bffi:Manifestation
bffi:additionalScaleInformation ,v0.5.0,,2024-03-27: changed subPropertyOf value from bffi:scale to bffi:note
bffi:additionalScaleInformation ,v0.5.0,,New property mapped with bffi-meta:exactMatch rdae:P20213; bffi-meta:broadMatch bf:scale
bffi:AdminMetadata,v0.6.0,Revised incoming/outgoing properties,2024-05-08 Changed (Removed RDA mapping)
bffi:aggregates,v0.5.0,,Lisätty mappaus bffi-meta:broadMatch bf:relatedTo
bffi:Arrangement,v0.5.0,,pushed back to a later version with relatedTo -issues
bffi:arrangement,v0.5.0,,pushed back to a later version with relatedTo -issues
bffi:arrangementOf,v0.5.0,,pushed back to a later version with relatedTo -issues
bffi:aspectRatioOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:aspectRatio
bffi:assigner,v0.6.0,,"2024-05-10 Changed: added RDA mappings; Changed range from rdfs:Resource to [bffi:Person, bffi:CorporateBody]"
bffi:associatedResource,v0.7.0,,2024-08-28 New
bffi:AudioExpression,v0.5.0,,changed subClassOf value FROM bf:Audio to bffi:Expression added bffi-meta:broadMatch bf:Audio
bffi:AudioExpression,v0.6.0,"Changed Finnish label from ""Audioekspressio"" to ""Ääniekspressio""",
bffi:AudioExpression,v0.8.0,Deprecated. Superclass was removed while subclasses remained in the model,
bffi:AudioWork,v0.5.0,,changed subClassOf value FROM bf:Audio to bffi:Work; added bffi-meta:broadMatch bf:Audio
bffi:AudioWork,v0.8.0,Deprecated. Separated to bffi:MusicWork and bffi:NonMusicAudioWork,2024-11-20  lisättiin uusi luokka bffi:MusicWork
bffi:capture,v0.8.0,"Changed Finnish label from ""tallennustiedot"" to ""taltiointitiedot""",2024-10-10 musiikki-issuen käsittelyssä päätetty
bffi:Capture,v0.8.0,"Changed Finnish label from ""Taltionti"" to ""Taltiointitiedot""",2024-10-10 musiikki-issuen käsittelyssä päätetty
